Slug,Started,Status,AboutBody,Section2Title,Section2Body
chrchlink,2022-09-02,retired,A church directory with a link in bio for churches.,,
churchsync,2025-05-29,retired,A database for churches that would be very flexible.,,
city-planning-blog,2009-04-01,retired,A city planning blog where I documented what I learned as I studied this at Iowa State University.,,
cogitav,2009-05-01,retired,All I know is I was thinking big with this blog but it only lasted over the summer. ,,
copact,2023-08-05,retired,A past idea from the portfolio archive; not actively developed.,,
decent-soap,2015-07-15,retired,A cold-pressed soap company that never started but the play on “decent” was too good to not keep renewing the domain until 2025.,,
feedme-post,2008-05-01,retired,"My first idea come from RSS feeds, popularity of Digg, and having more curated content. Made in Blogger.",,
handiwork,2019-05-22,retired,My first app idea was to solve my own problem—Planning Center. I would start with groups and go from there.,,
hike,2021-02-03,retired,"After going to therapy for the first time I realized families need better tools. This was a family journaling app that ironically was worked on more after my divorce, made it into development, but then all of the sudden—all erased.",,
lazwear,2021-05-23,retired,What about a line of church merch? The first and only collection was called “Mirror” and sold and printed 26 shirts.,,
lifenotion,2010-05-01,retired,A past idea from the portfolio archive; not actively developed.,,
lilo-loved,2019-01-09,retired,A dog bath products brand.,,
littleseaandme,2018-10-01,retired,A children’s brand that also equips parents.,,
made-in-dsm,2013-10-27,retired,"Showcasing and sharing what local creatives, makers, and businesses were doing in Des Moines, Iowa. We did vlogs, events, and a high-engaging newsletter.",,
neighbormade,2020-12-09,retired,A barter system inspired by the Amazon locker system. Think community garden meets Amazon locker.,,
perch,2022-06-22,retired,A fresh take on property management software where tenants had a better experience.,,
resimplify,2012-06-17,retired,A design blog that went through so many iterations. One of those being my personal site. But heyderekj.com was born and Resimplify was retired.,,
scio7,2009-06-01,retired,A bite-sized podcast network inspired by 5by5.,,
shift-pace-drive,2020-08-18,retired,"A racing blog, community, and exploring what a Figjam meets fantasy league.",,
sparrow,2022-07-01,retired,An education platform.,,
uniqueblog,2010-07-01,retired,A blog about blogging that was popular and run alongside Blogussion.,,
influlive,2008-08-01,retired,Another made in Blogger project that started my blogging journey.,,
notionup,2010-04-03,retired,A collective and constant reminder that this domain would later be re-registered by THE Notion.,,
